2025-03-23 15:01:38 - Mensaje recibido: {'move': 0, 'timestamp': 1742742098243}
2025-03-23 15:01:38 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:38 - Mensaje recibido: {'move': -1, 'timestamp': 1742742098859}
2025-03-23 15:01:38 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:39 - Mensaje recibido: {'move': 0, 'timestamp': 1742742099222}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:39 - Mensaje recibido: {'move': 1, 'timestamp': 1742742099379}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:39 - Mensaje recibido: {'move': 1, 'timestamp': 1742742099890}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:39 - Mensaje recibido: {'move': 1, 'timestamp': 1742742099923}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:39 - Mensaje recibido: {'move': 1, 'timestamp': 1742742099955}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:39 - Mensaje recibido: {'move': 1, 'timestamp': 1742742099986}
2025-03-23 15:01:39 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:40 - Mensaje recibido: {'move': 1, 'timestamp': 1742742100017}
2025-03-23 15:01:40 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:40 - Mensaje recibido: {'move': 1, 'timestamp': 1742742100048}
2025-03-23 15:01:40 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:40 - Mensaje recibido: {'move': 1, 'timestamp': 1742742100082}
2025-03-23 15:01:40 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:40 - Mensaje recibido: {'move': 1, 'timestamp': 1742742100112}
2025-03-23 15:01:40 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:40 - Mensaje recibido: {'move': 0, 'timestamp': 1742742100132}
2025-03-23 15:01:40 - Movimiento reenviado a otro jugador: 0
